Time(s),CH1V,CH2V,CH3V,CH4V
-1.700000e-07,1.640000e-02,3.606667e-02,2.986667e-03,1.473333e-03
-1.695000e-07,1.386667e-02,3.386667e-02,-1.813333e-03,9.866667e-04
-1.690000e-07,1.360000e-02,3.026667e-02,-2.906667e-03,4.200000e-04
-1.685000e-07,1.553333e-02,2.360000e-02,2.640000e-03,1.200000e-04
-1.680000e-07,1.433333e-02,1.706667e-02,6.720000e-03,2.333333e-04
-1.675000e-07,1.053333e-02,1.746667e-02,4.586667e-03,7.800000e-04
-1.670000e-07,1.100000e-02,2.513333e-02,-1.866667e-04,1.560000e-03
-1.665000e-07,1.733333e-02,3.286667e-02,-2.746667e-03,2.293333e-03
-1.660000e-07,2.413333e-02,3.360000e-02,-1.413333e-03,2.553333e-03
-1.655000e-07,2.706667e-02,2.633333e-02,9.600000e-04,2.120000e-03
-1.650000e-07,2.513333e-02,1.786667e-02,5.600000e-04,1.226667e-03
-1.645000e-07,1.926667e-02,1.673333e-02,-1.866667e-03,5.066667e-04
-1.640000e-07,1.153333e-02,2.233333e-02,-2.106667e-03,4.533333e-04
-1.635000e-07,5.600000e-03,2.680000e-02,5.600000e-04,1.040000e-03
-1.630000e-07,4.866667e-03,2.773333e-02,2.053333e-03,1.673333e-03
-1.625000e-07,1.026667e-02,2.980000e-02,1.600000e-04,1.573333e-03
-1.620000e-07,1.873333e-02,3.233333e-02,-3.093333e-03,9.400000e-04
-1.615000e-07,2.440000e-02,2.926667e-02,-3.600000e-03,5.666667e-04
-1.610000e-07,2.246667e-02,2.146667e-02,5.066667e-04,4.933333e-04
-1.605000e-07,1.593333e-02,1.686667e-02,4.880000e-03,7.333334e-05
-1.600000e-07,1.206667e-02,1.873333e-02,3.093333e-03,-4.133333e-04
-1.595000e-07,1.266667e-02,2.260000e-02,-3.600000e-03,2.000000e-05
-1.590000e-07,1.346667e-02,2.733333e-02,-7.066667e-03,1.173333e-03
-1.585000e-07,1.293333e-02,3.426667e-02,-4.746667e-03,1.786667e-03
-1.580000e-07,1.446667e-02,3.820000e-02,-1.520000e-03,1.486667e-03
-1.575000e-07,1.760000e-02,3.146667e-02,2.133333e-04,1.126667e-03
-1.570000e-07,1.913333e-02,2.006667e-02,2.453333e-03,9.666667e-04
-1.565000e-07,1.780000e-02,1.786667e-02,3.546667e-03,5.666667e-04
-1.560000e-07,1.580000e-02,2.540000e-02,-7.200000e-04,2.666667e-04
-1.555000e-07,1.640000e-02,2.926667e-02,-7.333333e-03,9.266667e-04
-1.550000e-07,1.940000e-02,2.620000e-02,-8.453334e-03,1.993333e-03
-1.545000e-07,2.166667e-02,2.540000e-02,-3.706667e-03,2.020000e-03
-1.540000e-07,1.926667e-02,2.886667e-02,-5.333333e-04,1.053333e-03
-1.535000e-07,1.566667e-02,2.860000e-02,-1.626667e-03,5.800000e-04
-1.530000e-07,1.693333e-02,2.413333e-02,-2.800000e-03,7.533333e-04
-1.525000e-07,2.093333e-02,2.300000e-02,-2.400000e-03,3.933333e-04
-1.520000e-07,1.913333e-02,2.660000e-02,-2.960000e-03,-4.866667e-04
-1.515000e-07,1.233333e-02,2.913333e-02,-3.946667e-03,-5.600000e-04
-1.510000e-07,9.600000e-03,2.813333e-02,-1.920000e-03,4.666667e-04
-1.505000e-07,1.386667e-02,2.680000e-02,1.600000e-03,1.426667e-03
-1.500000e-07,1.846667e-02,2.706667e-02,1.520000e-03,1.460000e-03
-1.495000e-07,1.926667e-02,2.720000e-02,-8.800000e-04,7.533333e-04
-1.490000e-07,1.833333e-02,2.553333e-02,-2.666667e-05,3.333333e-05
-1.485000e-07,1.626667e-02,2.220000e-02,2.853333e-03,-9.333334e-05
-1.480000e-07,1.193333e-02,1.913333e-02,7.200000e-04,2.200000e-04
-1.475000e-07,6.933333e-03,1.853333e-02,-4.533333e-03,4.066667e-04
-1.470000e-07,5.600000e-03,2.300000e-02,-3.893333e-03,5.533333e-04
-1.465000e-07,9.733333e-03,3.206667e-02,8.533333e-04,1.226667e-03
-1.460000e-07,1.720000e-02,3.773334e-02,-6.133333e-04,2.166667e-03
-1.455000e-07,2.333333e-02,3.146667e-02,-6.240000e-03,2.393333e-03
-1.450000e-07,2.386667e-02,1.940000e-02,-4.106666e-03,1.600000e-03
-1.445000e-07,1.886667e-02,1.633333e-02,4.986667e-03,5.400000e-04
-1.440000e-07,1.233333e-02,2.386667e-02,7.466667e-03,3.333333e-05
-1.435000e-07,7.400000e-03,2.886667e-02,1.173333e-03,3.800000e-04
-1.430000e-07,4.333334e-03,2.760000e-02,-2.453333e-03,1.100000e-03
-1.425000e-07,5.733334e-03,2.813333e-02,-3.200000e-04,1.513333e-03
-1.420000e-07,1.346667e-02,3.106667e-02,-3.200000e-04,1.300000e-03
-1.415000e-07,2.233333e-02,2.813333e-02,-3.093333e-03,7.533333e-04
-1.410000e-07,2.386667e-02,1.953333e-02,-1.066667e-03,3.200000e-04
-1.405000e-07,1.720000e-02,1.466667e-02,4.640000e-03,2.333333e-04
-1.400000e-07,1.040000e-02,1.620000e-02,4.986667e-03,5.933333e-04
-1.395000e-07,8.933334e-03,1.800000e-02,2.666667e-05,1.313333e-03
-1.390000e-07,1.166667e-02,1.993333e-02,-1.466667e-03,2.120000e-03
-1.385000e-07,1.526667e-02,2.693333e-02,1.253333e-03,2.593333e-03
-1.380000e-07,1.733333e-02,3.413333e-02,6.666667e-04,2.480000e-03
-1.375000e-07,1.720000e-02,3.053333e-02,-3.253333e-03,1.773333e-03
-1.370000e-07,1.566667e-02,1.873333e-02,-2.746667e-03,7.800000e-04
-1.365000e-07,1.253333e-02,1.173333e-02,2.106667e-03,2.000000e-05
-1.360000e-07,6.933333e-03,1.260000e-02,3.253333e-03,-2.133333e-04
-1.355000e-07,8.666667e-04,1.146667e-02,-2.666667e-04,9.333334e-05
-1.350000e-07,-2.600000e-03,5.066667e-03,-1.573333e-03,7.533333e-04
-1.345000e-07,-7.600000e-03,-1.333333e-03,6.133333e-04,1.513333e-03
-1.340000e-07,-2.200000e-02,-1.046667e-02,8.533333e-04,1.860000e-03
-1.335000e-07,-4.566667e-02,-3.206667e-02,-1.760000e-03,1.386667e-03
-1.330000e-07,-7.160000e-02,-6.433333e-02,-2.160000e-03,3.066667e-04
-1.325000e-07,-9.746667e-02,-9.480000e-02,3.200000e-04,-6.133333e-04
-1.320000e-07,-1.272667e-01,-1.145333e-01,1.360000e-03,-5.866667e-04
-1.315000e-07,-1.559333e-01,-1.250667e-01,-3.200000e-04,5.666667e-04
-1.310000e-07,-1.728667e-01,-1.313333e-01,-1.413333e-03,1.893333e-03
-1.305000e-07,-1.795333e-01,-1.368000e-01,-1.280000e-03,2.146667e-03
-1.300000e-07,-1.878000e-01,-1.433333e-01,-2.106667e-03,1.513333e-03
-1.295000e-07,-1.996000e-01,-1.518000e-01,-2.400000e-03,1.213333e-03
-1.290000e-07,-2.061333e-01,-1.604000e-01,1.173333e-03,1.373333e-03
-1.285000e-07,-2.069333e-01,-1.669333e-01,5.040000e-03,9.533333e-04
-1.280000e-07,-2.114000e-01,-1.706667e-01,1.813333e-03,1.933333e-04
-1.275000e-07,-2.188667e-01,-1.720667e-01,-5.440000e-03,3.933333e-04
-1.270000e-07,-2.194000e-01,-1.665333e-01,-6.373333e-03,1.620000e-03
-1.265000e-07,-2.100000e-01,-1.505333e-01,-1.226667e-03,2.493333e-03
-1.260000e-07,-1.983333e-01,-1.348000e-01,-8.000000e-05,2.146667e-03
-1.255000e-07,-1.903333e-01,-1.356667e-01,-4.106666e-03,9.866667e-04
-1.250000e-07,-1.845333e-01,-1.452667e-01,-4.586667e-03,-8.000000e-05
-1.245000e-07,-1.785333e-01,-1.392667e-01,4.266667e-04,-4.133333e-04
-1.240000e-07,-1.713333e-01,-1.160667e-01,3.440000e-03,-2.000000e-04
-1.235000e-07,-1.628667e-01,-9.753334e-02,1.413333e-03,-9.333334e-05
-1.230000e-07,-1.541333e-01,-8.973333e-02,-1.226667e-03,-6.666667e-05
-1.225000e-07,-1.452667e-01,-7.820000e-02,-1.706667e-03,4.800000e-04
-1.220000e-07,-1.360000e-01,-6.406667e-02,-1.413333e-03,1.460000e-03
-1.215000e-07,-1.264667e-01,-6.406667e-02,-4.800000e-04,2.020000e-03
-1.210000e-07,-1.180000e-01,-7.486667e-02,2.400000e-03,1.720000e-03
-1.205000e-07,-1.130000e-01,-7.486667e-02,4.826667e-03,1.026667e-03
-1.200000e-07,-1.116000e-01,-5.973333e-02,2.800000e-03,5.933333e-04
-1.195000e-07,-1.105333e-01,-4.566667e-02,-1.760000e-03,6.933333e-04
-1.190000e-07,-1.054000e-01,-3.820000e-02,-2.746667e-03,1.113333e-03
-1.185000e-07,-9.653334e-02,-2.826667e-02,3.200000e-04,1.326667e-03
-1.180000e-07,-8.820000e-02,-1.760000e-02,2.213333e-03,1.173333e-03
-1.175000e-07,-8.446667e-02,-1.813333e-02,1.253333e-03,9.133333e-04
-1.170000e-07,-8.460000e-02,-2.720000e-02,7.200000e-04,7.933333e-04
-1.165000e-07,-8.460000e-02,-2.846667e-02,9.600000e-04,8.400000e-04
-1.160000e-07,-8.020000e-02,-1.886667e-02,-1.173333e-03,8.533333e-04
-1.155000e-07,-7.086667e-02,-1.066667e-02,-5.840000e-03,7.266667e-04
-1.150000e-07,-6.020000e-02,-8.666667e-03,-9.360000e-03,5.666667e-04
-1.145000e-07,-5.220000e-02,-7.000000e-03,-9.013333e-03,6.533333e-04
-1.140000e-07,-4.833334e-02,-1.466667e-03,-5.493333e-03,7.666667e-04
-1.135000e-07,-4.553333e-02,4.400000e-03,-1.120000e-03,4.933333e-04
-1.130000e-07,-4.013333e-02,7.133333e-03,2.160000e-03,1.066667e-04
-1.125000e-07,-3.433333e-02,6.866667e-03,3.093333e-03,3.200000e-04
-1.120000e-07,-3.346667e-02,6.066667e-03,1.706667e-03,9.866667e-04
-1.115000e-07,-3.473333e-02,7.133333e-03,1.600000e-04,1.140000e-03
-1.110000e-07,-2.960000e-02,1.386667e-02,-3.200000e-04,9.533333e-04
-1.105000e-07,-1.980000e-02,2.566667e-02,-1.413333e-03,1.346667e-03
-1.100000e-07,-1.573333e-02,3.273333e-02,-3.413333e-03,2.253333e-03
-1.095000e-07,-1.866667e-02,2.440000e-02,-4.186667e-03,2.540000e-03
-1.090000e-07,-1.993333e-02,6.866667e-03,-2.853333e-03,1.686667e-03
-1.085000e-07,-1.726667e-02,-1.733333e-03,2.693333e-03,4.200000e-04
-1.080000e-07,-1.700000e-02,3.800000e-03,-1.760000e-03,-2.666667e-04
-1.075000e-07,-1.866667e-02,1.220000e-02,-7.797334e-02,3.333333e-05
-1.070000e-07,-1.480000e-02,1.720000e-02,-2.761867e-01,8.533333e-04
-1.065000e-07,-5.400000e-03,2.233333e-02,-5.210667e-01,1.273333e-03
-1.060000e-07,1.666667e-03,2.606667e-02,-6.659467e-01,1.026667e-03
-1.055000e-07,2.800000e-03,2.173333e-02,-6.810133e-01,6.066667e-04
-1.050000e-07,1.400000e-03,1.286667e-02,-6.678666e-01,3.333333e-04
-1.045000e-07,-6.666667e-04,1.093333e-02,-6.904534e-01,1.200000e-04
-1.040000e-07,-4.133333e-03,1.566667e-02,-7.202666e-01,-8.000000e-05
-1.035000e-07,-6.866667e-03,1.733333e-02,-7.308267e-01,-6.666667e-05
-1.030000e-07,-5.200000e-03,1.580000e-02,-7.349600e-01,2.933333e-04
-1.025000e-07,-1.466667e-03,2.080000e-02,-7.406667e-01,8.800000e-04
-1.020000e-07,-2.333333e-03,2.846667e-02,-7.410133e-01,1.326667e-03
-1.015000e-07,-7.600000e-03,2.453333e-02,-7.368800e-01,1.300000e-03
-1.010000e-07,-1.133333e-02,1.093333e-02,-7.363467e-01,7.800000e-04
-1.005000e-07,-1.033333e-02,4.800000e-03,-7.401600e-01,1.800000e-04
-1.000000e-07,-7.466667e-03,9.800000e-03,-7.426933e-01,-2.666667e-05
