Time(s),CH1V,CH2V
-2.750000e-07,-2.200000e-05,-2.400000e-04
-2.740000e-07,4.866666e-05,1.133333e-04
-2.730000e-07,1.973333e-04,3.440000e-04
-2.720000e-07,2.513333e-04,2.373333e-04
-2.710000e-07,1.666667e-04,-3.573333e-04
-2.700000e-07,6.600000e-05,-1.280000e-03
-2.690000e-07,2.600000e-05,-2.041333e-03
-2.680000e-07,1.066667e-05,-2.128000e-03
-2.670000e-07,-3.066667e-05,-1.382667e-03
-2.660000e-07,-8.733333e-05,-2.933333e-04
-2.650000e-07,-8.600000e-05,3.760000e-04
-2.640000e-07,3.866667e-05,3.493333e-04
-2.630000e-07,2.186667e-04,-4.666667e-05
-2.620000e-07,3.006667e-04,-5.133333e-04
-2.610000e-07,2.300000e-04,-1.038667e-03
-2.600000e-07,1.026667e-04,-1.505333e-03
-2.590000e-07,2.600000e-05,-1.656000e-03
-2.580000e-07,3.066667e-05,-1.500000e-03
-2.570000e-07,8.266667e-05,-1.232000e-03
-2.560000e-07,1.266667e-04,-7.866666e-04
-2.550000e-07,1.240000e-04,-9.333333e-06
-2.540000e-07,9.133334e-05,6.506667e-04
-2.530000e-07,7.133334e-05,4.733333e-04
-2.520000e-07,9.000000e-05,-4.013333e-04
-2.510000e-07,1.406667e-04,-1.086667e-03
-2.500000e-07,1.833333e-04,-1.162667e-03
-2.490000e-07,1.693333e-04,-9.746667e-04
-2.480000e-07,8.133333e-05,-8.733333e-04
-2.470000e-07,-6.666667e-07,-8.293333e-04
-2.460000e-07,2.600000e-05,-5.880000e-04
-2.450000e-07,1.440000e-04,-4.666667e-05
-2.440000e-07,2.386667e-04,3.826667e-04
-2.430000e-07,2.853333e-04,9.200000e-05
-2.420000e-07,3.493333e-04,-7.706666e-04
-2.410000e-07,3.900000e-04,-1.404000e-03
-2.400000e-07,2.840000e-04,-1.500000e-03
-2.390000e-07,7.733333e-05,-1.436000e-03
-2.380000e-07,-4.600000e-05,-1.478667e-03
-2.370000e-07,-4.600000e-05,-1.473333e-03
-2.360000e-07,-3.933333e-05,-1.141333e-03
-2.350000e-07,-3.200000e-05,-4.280000e-04
-2.340000e-07,8.266667e-05,2.106667e-04
-2.330000e-07,2.966667e-04,2.000000e-04
-2.320000e-07,4.513333e-04,-3.466667e-04
-2.310000e-07,4.046667e-04,-7.546667e-04
-2.300000e-07,1.666667e-04,-8.840000e-04
-2.290000e-07,-9.866666e-05,-1.157333e-03
-2.280000e-07,-1.893333e-04,-1.521333e-03
-2.270000e-07,-5.733333e-05,-1.398667e-03
-2.260000e-07,1.633333e-04,-7.386667e-04
-2.250000e-07,3.080000e-04,-1.226667e-04
-2.240000e-07,3.106667e-04,7.600000e-05
-2.230000e-07,2.586667e-04,-5.733333e-05
-2.220000e-07,2.753333e-04,-4.920000e-04
-2.210000e-07,3.053333e-04,-1.285333e-03
-2.200000e-07,1.860000e-04,-1.993333e-03
-2.190000e-07,-2.333333e-05,-1.998667e-03
-2.180000e-07,-8.600000e-05,-1.349333e-03
-2.170000e-07,3.466667e-05,-6.960000e-04
-2.160000e-07,1.326667e-04,-3.413333e-04
-2.150000e-07,1.180000e-04,-7.333334e-05
-2.140000e-07,8.866667e-05,1.946667e-04
-2.130000e-07,1.126667e-04,2.266667e-04
-2.120000e-07,1.453333e-04,-1.106667e-04
-2.110000e-07,1.353333e-04,-6.960000e-04
-2.100000e-07,7.400000e-05,-1.360000e-03
-2.090000e-07,-6.666667e-06,-1.934667e-03
-2.080000e-07,-5.866666e-05,-2.094667e-03
-2.070000e-07,-6.733333e-05,-1.612000e-03
-2.060000e-07,-4.733333e-05,-8.293333e-04
-2.050000e-07,1.066667e-05,-4.386667e-04
-2.040000e-07,1.280000e-04,-5.880000e-04
-2.030000e-07,2.346667e-04,-8.506667e-04
-2.020000e-07,2.200000e-04,-1.076000e-03
-2.010000e-07,1.153333e-04,-1.462667e-03
-2.000000e-07,5.866666e-05,-1.816000e-03
-1.990000e-07,6.133333e-05,-1.624000e-03
-1.980000e-07,2.733333e-05,-1.033333e-03
-1.970000e-07,-2.466667e-05,-7.173333e-04
-1.960000e-07,3.200000e-05,-7.120000e-04
-1.950000e-07,1.946667e-04,-4.813333e-04
-1.940000e-07,3.106667e-04,-1.493333e-04
-1.930000e-07,2.866667e-04,-3.800000e-04
-1.920000e-07,1.733333e-04,-9.960000e-04
-1.910000e-07,8.400000e-05,-1.130667e-03
-1.900000e-07,8.866667e-05,-7.920000e-04
-1.890000e-07,1.280000e-04,-8.293333e-04
-1.880000e-07,8.866667e-05,-1.216000e-03
-1.870000e-07,4.666666e-06,-1.054667e-03
-1.860000e-07,2.600000e-05,-2.826667e-04
-1.850000e-07,1.553333e-04,2.000000e-04
-1.840000e-07,2.413333e-04,6.533333e-05
-1.830000e-07,2.286667e-04,-2.133333e-04
-1.820000e-07,2.046667e-04,-4.706667e-04
-1.810000e-07,2.273333e-04,-9.800000e-04
-1.800000e-07,2.586667e-04,-1.537333e-03
-1.790000e-07,2.486667e-04,-1.537333e-03
-1.780000e-07,1.873333e-04,-9.640000e-04
-1.770000e-07,1.066667e-04,-3.906667e-04
-1.760000e-07,5.600000e-05,-1.000000e-04
-1.750000e-07,4.866666e-05,9.200000e-05
-1.740000e-07,6.000000e-05,1.733333e-04
-1.730000e-07,9.533334e-05,-1.106667e-04
