Time(s),CH1V,CH2V,CH3V,CH4V
-3.690000e-07,-4.733333e-05,4.613333e-04,3.800000e-05,6.933333e-04
-3.680000e-07,-4.733333e-05,3.546667e-04,3.800000e-05,1.273333e-03
-3.670000e-07,5.466667e-05,2.053333e-04,-3.000000e-05,-8.000000e-04
-3.660000e-07,5.193333e-04,6.320000e-04,-1.100000e-04,-1.133333e-04
-3.650000e-07,5.420000e-04,7.813333e-04,-3.260000e-04,1.273333e-03
-3.640000e-07,5.193333e-04,9.733333e-04,1.060000e-04,1.620000e-03
-3.630000e-07,4.060000e-04,2.480000e-04,2.200000e-04,-1.133333e-04
-3.620000e-07,-1.333333e-05,3.333333e-04,3.786667e-04,9.266667e-04
-3.610000e-07,-1.493333e-04,6.320000e-04,1.513333e-04,1.846667e-03
-3.600000e-07,-1.266667e-04,9.946667e-04,8.333333e-05,1.273333e-03
-3.590000e-07,-1.333333e-05,9.866666e-05,6.066667e-05,2.333333e-04
-3.580000e-07,1.226667e-04,5.040000e-04,-1.866667e-05,-4.533333e-04
-3.570000e-07,4.513333e-04,8.026666e-04,-1.780000e-04,9.266667e-04
-3.560000e-07,6.213333e-04,8.240000e-04,-3.000000e-05,1.153333e-03
-3.550000e-07,6.666667e-04,-1.573333e-04,7.200000e-05,1.200000e-04
-3.540000e-07,4.286667e-04,9.733333e-04,3.560000e-04,8.133333e-04
-3.530000e-07,2.020000e-04,4.186667e-04,3.220000e-04,1.040000e-03
-3.520000e-07,-2.173333e-04,9.306667e-04,1.860000e-04,2.193333e-03
-3.510000e-07,-8.133333e-05,5.040000e-04,4.000000e-06,6.933333e-04
-3.500000e-07,-3.760000e-04,5.040000e-04,2.653333e-04,-1.133333e-04
-3.490000e-07,-8.133333e-05,3.120000e-04,-1.893333e-04,6.933333e-04
-3.480000e-07,3.040000e-04,7.600000e-04,-4.133333e-05,1.273333e-03
-3.470000e-07,4.626667e-04,5.253333e-04,-2.346667e-04,-1.033333e-03
-3.460000e-07,5.760000e-04,7.813333e-04,-3.486667e-04,-1.133333e-04
-3.450000e-07,5.873333e-04,9.306667e-04,4.000000e-06,8.133333e-04
-3.440000e-07,4.286667e-04,1.037333e-03,2.086667e-04,1.846667e-03
-3.430000e-07,3.200000e-05,5.253333e-04,1.286667e-04,6.933333e-04
-3.420000e-07,-1.946667e-04,5.040000e-04,3.673333e-04,6.933333e-04
-3.410000e-07,-1.040000e-04,2.906667e-04,2.666667e-05,2.540000e-03
-3.400000e-07,-2.000000e-06,5.466667e-04,-4.133333e-05,1.620000e-03
